aaa	ssss
61-ddddd	ffffffffffffffffffff
62-ddddd	ffffffffffffffffffff
64-ddddd	ffffffffffffffffffff
63-ddddd	ffffffffffffffffffff
65-ddddd	ffffffffffffffffffff
66-ddddd	ffffffffffffffffffff
68-ddddd	ffffffffffffffffffff
67-ddddd	ffffffffffffffffffff
69-ddddd	ffffffffffffffffffff
70-ddddd	ffffffffffffffffffff
71-ddddd	ffffffffffffffffffff
72-ddddd	ffffffffffffffffffff
73-ddddd	ffffffffffffffffffff
74-ddddd	ffffffffffffffffffff
75-ddddd	ffffffffffffffffffff
76-ddddd	ffffffffffffffffffff
77-ddddd	ffffffffffffffffffff
78-ddddd	ffffffffffffffffffff
80-ddddd	ffffffffffffffffffff
79-ddddd	ffffffffffffffffffff
81-ddddd	ffffffffffffffffffff
82-ddddd	ffffffffffffffffffff
83-ddddd	ffffffffffffffffffff
84-ddddd	ffffffffffffffffffff
85-ddddd	ffffffffffffffffffff
86-ddddd	ffffffffffffffffffff
87-ddddd	ffffffffffffffffffff
88-ddddd	ffffffffffffffffffff
89-ddddd	ffffffffffffffffffff
91-ddddd	ffffffffffffffffffff
92-ddddd	ffffffffffffffffffff
94-ddddd	ffffffffffffffffffff
95-ddddd	ffffffffffffffffffff
93-ddddd	ffffffffffffffffffff
96-ddddd	ffffffffffffffffffff
97-ddddd	ffffffffffffffffffff
98-ddddd	ffffffffffffffffffff
99-ddddd	ffffffffffffffffffff
100-ddddd	ffffffffffffffffffff
101-ddddd	ffffffffffffffffffff
102-ddddd	ffffffffffffffffffff
103-ddddd	ffffffffffffffffffff
104-ddddd	ffffffffffffffffffff
105-ddddd	ffffffffffffffffffff
106-ddddd	ffffffffffffffffffff
107-ddddd	ffffffffffffffffffff
108-ddddd	ffffffffffffffffffff
109-ddddd	ffffffffffffffffffff
110-ddddd	ffffffffffffffffffff
111-ddddd	ffffffffffffffffffff
112-ddddd	ffffffffffffffffffff
113-ddddd	ffffffffffffffffffff
114-ddddd	ffffffffffffffffffff
115-ddddd	ffffffffffffffffffff
116-ddddd	ffffffffffffffffffff
118-ddddd	ffffffffffffffffffff
117-ddddd	ffffffffffffffffffff
119-ddddd	ffffffffffffffffffff
121-ddddd	ffffffffffffffffffff
122-ddddd	ffffffffffffffffffff
123-ddddd	ffffffffffffffffffff
124-ddddd	ffffffffffffffffffff
125-ddddd	ffffffffffffffffffff
126-ddddd	ffffffffffffffffffff
127-ddddd	ffffffffffffffffffff
128-ddddd	ffffffffffffffffffff
129-ddddd	ffffffffffffffffffff
131-ddddd	ffffffffffffffffffff
130-ddddd	ffffffffffffffffffff
132-ddddd	ffffffffffffffffffff
133-ddddd	ffffffffffffffffffff
134-ddddd	ffffffffffffffffffff
135-ddddd	ffffffffffffffffffff
136-ddddd	ffffffffffffffffffff
137-ddddd	ffffffffffffffffffff
139-ddddd	ffffffffffffffffffff
138-ddddd	ffffffffffffffffffff
140-ddddd	ffffffffffffffffffff
141-ddddd	ffffffffffffffffffff
142-ddddd	ffffffffffffffffffff
143-ddddd	ffffffffffffffffffff
144-ddddd	ffffffffffffffffffff
145-ddddd	ffffffffffffffffffff
146-ddddd	ffffffffffffffffffff
147-ddddd	ffffffffffffffffffff
148-ddddd	ffffffffffffffffffff
149-ddddd	ffffffffffffffffffff
150-ddddd	ffffffffffffffffffff
151-ddddd	ffffffffffffffffffff
152-ddddd	ffffffffffffffffffff
153-ddddd	ffffffffffffffffffff
155-ddddd	ffffffffffffffffffff
154-ddddd	ffffffffffffffffffff
156-ddddd	ffffffffffffffffffff
157-ddddd	ffffffffffffffffffff
158-ddddd	ffffffffffffffffffff
159-ddddd	ffffffffffffffffffff
160-ddddd	ffffffffffffffffffff
161-ddddd	ffffffffffffffffffff
162-ddddd	ffffffffffffffffffff
164-ddddd	ffffffffffffffffffff
163-ddddd	ffffffffffffffffffff
165-ddddd	ffffffffffffffffffff
166-ddddd	ffffffffffffffffffff
167-ddddd	ffffffffffffffffffff
168-ddddd	ffffffffffffffffffff
169-ddddd	ffffffffffffffffffff
170-ddddd	ffffffffffffffffffff
171-ddddd	ffffffffffffffffffff
172-ddddd	ffffffffffffffffffff
173-ddddd	ffffffffffffffffffff
174-ddddd	ffffffffffffffffffff
175-ddddd	ffffffffffffffffffff
176-ddddd	ffffffffffffffffffff
177-ddddd	ffffffffffffffffffff
178-ddddd	ffffffffffffffffffff
180-ddddd	ffffffffffffffffffff
179-ddddd	ffffffffffffffffffff
181-ddddd	ffffffffffffffffffff
183-ddddd	ffffffffffffffffffff
182-ddddd	ffffffffffffffffffff
184-ddddd	ffffffffffffffffffff
186-ddddd	ffffffffffffffffffff
185-ddddd	ffffffffffffffffffff
187-ddddd	ffffffffffffffffffff
188-ddddd	ffffffffffffffffffff
189-ddddd	ffffffffffffffffffff
191-ddddd	ffffffffffffffffffff
190-ddddd	ffffffffffffffffffff
192-ddddd	ffffffffffffffffffff
194-ddddd	ffffffffffffffffffff
193-ddddd	ffffffffffffffffffff
195-ddddd	ffffffffffffffffffff
196-ddddd	ffffffffffffffffffff
197-ddddd	ffffffffffffffffffff
198-ddddd	ffffffffffffffffffff
199-ddddd	ffffffffffffffffffff
201-ddddd	ffffffffffffffffffff
200-ddddd	ffffffffffffffffffff
202-ddddd	ffffffffffffffffffff
203-ddddd	ffffffffffffffffffff
204-ddddd	ffffffffffffffffffff
205-ddddd	ffffffffffffffffffff
206-ddddd	ffffffffffffffffffff
207-ddddd	ffffffffffffffffffff
208-ddddd	ffffffffffffffffffff
209-ddddd	ffffffffffffffffffff
210-ddddd	ffffffffffffffffffff
211-ddddd	ffffffffffffffffffff
212-ddddd	ffffffffffffffffffff
213-ddddd	ffffffffffffffffffff
214-ddddd	ffffffffffffffffffff
215-ddddd	ffffffffffffffffffff
216-ddddd	ffffffffffffffffffff
217-ddddd	ffffffffffffffffffff
218-ddddd	ffffffffffffffffffff
219-ddddd	ffffffffffffffffffff
220-ddddd	ffffffffffffffffffff
221-ddddd	ffffffffffffffffffff
222-ddddd	ffffffffffffffffffff
223-ddddd	ffffffffffffffffffff
224-ddddd	ffffffffffffffffffff
225-ddddd	ffffffffffffffffffff
226-ddddd	ffffffffffffffffffff
227-ddddd	ffffffffffffffffffff
228-ddddd	ffffffffffffffffffff
229-ddddd	ffffffffffffffffffff
230-ddddd	ffffffffffffffffffff
232-ddddd	ffffffffffffffffffff
231-ddddd	ffffffffffffffffffff
233-ddddd	ffffffffffffffffffff
234-ddddd	ffffffffffffffffffff
235-ddddd	ffffffffffffffffffff
236-ddddd	ffffffffffffffffffff
237-ddddd	ffffffffffffffffffff
238-ddddd	ffffffffffffffffffff
239-ddddd	ffffffffffffffffffff
241-ddddd	ffffffffffffffffffff
240-ddddd	ffffffffffffffffffff
242-ddddd	ffffffffffffffffffff
243-ddddd	ffffffffffffffffffff
244-ddddd	ffffffffffffffffffff
245-ddddd	ffffffffffffffffffff
246-ddddd	ffffffffffffffffffff
247-ddddd	ffffffffffffffffffff
248-ddddd	ffffffffffffffffffff
249-ddddd	ffffffffffffffffffff
250-ddddd	ffffffffffffffffffff
251-ddddd	ffffffffffffffffffff
252-ddddd	ffffffffffffffffffff
253-ddddd	ffffffffffffffffffff
254-ddddd	ffffffffffffffffffff
255-ddddd	ffffffffffffffffffff
257-ddddd	ffffffffffffffffffff
256-ddddd	ffffffffffffffffffff
258-ddddd	ffffffffffffffffffff
259-ddddd	ffffffffffffffffffff
260-ddddd	ffffffffffffffffffff
261-ddddd	ffffffffffffffffffff
262-ddddd	ffffffffffffffffffff
263-ddddd	ffffffffffffffffffff
264-ddddd	ffffffffffffffffffff
265-ddddd	ffffffffffffffffffff
266-ddddd	ffffffffffffffffffff
267-ddddd	ffffffffffffffffffff
268-ddddd	ffffffffffffffffffff
269-ddddd	ffffffffffffffffffff
270-ddddd	ffffffffffffffffffff
271-ddddd	ffffffffffffffffffff
272-ddddd	ffffffffffffffffffff
273-ddddd	ffffffffffffffffffff
274-ddddd	ffffffffffffffffffff
275-ddddd	ffffffffffffffffffff
276-ddddd	ffffffffffffffffffff
277-ddddd	ffffffffffffffffffff
278-ddddd	ffffffffffffffffffff
280-ddddd	ffffffffffffffffffff
279-ddddd	ffffffffffffffffffff
281-ddddd	ffffffffffffffffffff
283-ddddd	ffffffffffffffffffff
282-ddddd	ffffffffffffffffffff
285-ddddd	ffffffffffffffffffff
287-ddddd	ffffffffffffffffffff
288-ddddd	ffffffffffffffffffff
289-ddddd	ffffffffffffffffffff
290-ddddd	ffffffffffffffffffff
291-ddddd	ffffffffffffffffffff
292-ddddd	ffffffffffffffffffff
293-ddddd	ffffffffffffffffffff
294-ddddd	ffffffffffffffffffff
295-ddddd	ffffffffffffffffffff
296-ddddd	ffffffffffffffffffff
297-ddddd	ffffffffffffffffffff
298-ddddd	ffffffffffffffffffff
299-ddddd	ffffffffffffffffffff
300-ddddd	ffffffffffffffffffff
301-ddddd	ffffffffffffffffffff
302-ddddd	ffffffffffffffffffff
303-ddddd	ffffffffffffffffffff
304-ddddd	ffffffffffffffffffff
305-ddddd	ffffffffffffffffffff
306-ddddd	ffffffffffffffffffff
307-ddddd	ffffffffffffffffffff
308-ddddd	ffffffffffffffffffff
309-ddddd	ffffffffffffffffffff
310-ddddd	ffffffffffffffffffff
311-ddddd	ffffffffffffffffffff
312-ddddd	ffffffffffffffffffff
313-ddddd	ffffffffffffffffffff
314-ddddd	ffffffffffffffffffff
315-ddddd	ffffffffffffffffffff
316-ddddd	ffffffffffffffffffff
317-ddddd	ffffffffffffffffffff
318-ddddd	ffffffffffffffffffff
319-ddddd	ffffffffffffffffffff
320-ddddd	ffffffffffffffffffff
321-ddddd	ffffffffffffffffffff
322-ddddd	ffffffffffffffffffff
323-ddddd	ffffffffffffffffffff
324-ddddd	ffffffffffffffffffff
325-ddddd	ffffffffffffffffffff
326-ddddd	ffffffffffffffffffff
327-ddddd	ffffffffffffffffffff
328-ddddd	ffffffffffffffffffff
329-ddddd	ffffffffffffffffffff
330-ddddd	ffffffffffffffffffff
331-ddddd	ffffffffffffffffffff
332-ddddd	ffffffffffffffffffff
333-ddddd	ffffffffffffffffffff
334-ddddd	ffffffffffffffffffff
335-ddddd	ffffffffffffffffffff
336-ddddd	ffffffffffffffffffff
337-ddddd	ffffffffffffffffffff
338-ddddd	ffffffffffffffffffff
339-ddddd	ffffffffffffffffffff
340-ddddd	ffffffffffffffffffff
341-ddddd	ffffffffffffffffffff
342-ddddd	ffffffffffffffffffff
343-ddddd	ffffffffffffffffffff
344-ddddd	ffffffffffffffffffff
345-ddddd	ffffffffffffffffffff
346-ddddd	ffffffffffffffffffff
347-ddddd	ffffffffffffffffffff
348-ddddd	ffffffffffffffffffff
349-ddddd	ffffffffffffffffffff
350-ddddd	ffffffffffffffffffff
351-ddddd	ffffffffffffffffffff
352-ddddd	ffffffffffffffffffff
353-ddddd	ffffffffffffffffffff
354-ddddd	ffffffffffffffffffff
355-ddddd	ffffffffffffffffffff
356-ddddd	ffffffffffffffffffff
357-ddddd	ffffffffffffffffffff
358-ddddd	ffffffffffffffffffff
359-ddddd	ffffffffffffffffffff
360-ddddd	ffffffffffffffffffff
361-ddddd	ffffffffffffffffffff
362-ddddd	ffffffffffffffffffff
363-ddddd	ffffffffffffffffffff
364-ddddd	ffffffffffffffffffff
365-ddddd	ffffffffffffffffffff
366-ddddd	ffffffffffffffffffff
367-ddddd	ffffffffffffffffffff
368-ddddd	ffffffffffffffffffff
369-ddddd	ffffffffffffffffffff
370-ddddd	ffffffffffffffffffff
371-ddddd	ffffffffffffffffffff
372-ddddd	ffffffffffffffffffff
373-ddddd	ffffffffffffffffffff
374-ddddd	ffffffffffffffffffff
375-ddddd	ffffffffffffffffffff
376-ddddd	ffffffffffffffffffff
377-ddddd	ffffffffffffffffffff
378-ddddd	ffffffffffffffffffff
379-ddddd	ffffffffffffffffffff
380-ddddd	ffffffffffffffffffff
381-ddddd	ffffffffffffffffffff
382-ddddd	ffffffffffffffffffff
383-ddddd	ffffffffffffffffffff
384-ddddd	ffffffffffffffffffff
385-ddddd	ffffffffffffffffffff
386-ddddd	ffffffffffffffffffff
387-ddddd	ffffffffffffffffffff
388-ddddd	ffffffffffffffffffff
389-ddddd	ffffffffffffffffffff
390-ddddd	ffffffffffffffffffff
391-ddddd	ffffffffffffffffffff
392-ddddd	ffffffffffffffffffff
393-ddddd	ffffffffffffffffffff
394-ddddd	ffffffffffffffffffff
395-ddddd	ffffffffffffffffffff
396-ddddd	ffffffffffffffffffff
397-ddddd	ffffffffffffffffffff
398-ddddd	ffffffffffffffffffff
399-ddddd	ffffffffffffffffffff
400-ddddd	ffffffffffffffffffff
401-ddddd	ffffffffffffffffffff
402-ddddd	ffffffffffffffffffff
403-ddddd	ffffffffffffffffffff
404-ddddd	ffffffffffffffffffff
405-ddddd	ffffffffffffffffffff
406-ddddd	ffffffffffffffffffff
407-ddddd	ffffffffffffffffffff
408-ddddd	ffffffffffffffffffff
409-ddddd	ffffffffffffffffffff
410-ddddd	ffffffffffffffffffff
411-ddddd	ffffffffffffffffffff
412-ddddd	ffffffffffffffffffff
413-ddddd	ffffffffffffffffffff
414-ddddd	ffffffffffffffffffff
415-ddddd	ffffffffffffffffffff
416-ddddd	ffffffffffffffffffff
417-ddddd	ffffffffffffffffffff
418-ddddd	ffffffffffffffffffff
419-ddddd	ffffffffffffffffffff
420-ddddd	ffffffffffffffffffff
421-ddddd	ffffffffffffffffffff
422-ddddd	ffffffffffffffffffff
423-ddddd	ffffffffffffffffffff
424-ddddd	ffffffffffffffffffff
425-ddddd	ffffffffffffffffffff
426-ddddd	ffffffffffffffffffff
427-ddddd	ffffffffffffffffffff
428-ddddd	ffffffffffffffffffff
429-ddddd	ffffffffffffffffffff
430-ddddd	ffffffffffffffffffff
431-ddddd	ffffffffffffffffffff
432-ddddd	ffffffffffffffffffff
433-ddddd	ffffffffffffffffffff
434-ddddd	ffffffffffffffffffff
435-ddddd	ffffffffffffffffffff
436-ddddd	ffffffffffffffffffff
437-ddddd	ffffffffffffffffffff
438-ddddd	ffffffffffffffffffff
439-ddddd	ffffffffffffffffffff
440-ddddd	ffffffffffffffffffff
441-ddddd	ffffffffffffffffffff
442-ddddd	ffffffffffffffffffff
443-ddddd	ffffffffffffffffffff
444-ddddd	ffffffffffffffffffff
445-ddddd	ffffffffffffffffffff
446-ddddd	ffffffffffffffffffff
447-ddddd	ffffffffffffffffffff
448-ddddd	ffffffffffffffffffff
449-ddddd	ffffffffffffffffffff
450-ddddd	ffffffffffffffffffff
451-ddddd	ffffffffffffffffffff
452-ddddd	ffffffffffffffffffff
453-ddddd	ffffffffffffffffffff
454-ddddd	ffffffffffffffffffff
455-ddddd	ffffffffffffffffffff
456-ddddd	ffffffffffffffffffff
457-ddddd	ffffffffffffffffffff
458-ddddd	ffffffffffffffffffff
459-ddddd	ffffffffffffffffffff
460-ddddd	ffffffffffffffffffff
461-ddddd	ffffffffffffffffffff
462-ddddd	ffffffffffffffffffff
463-ddddd	ffffffffffffffffffff
464-ddddd	ffffffffffffffffffff
465-ddddd	ffffffffffffffffffff
466-ddddd	ffffffffffffffffffff
467-ddddd	ffffffffffffffffffff
468-ddddd	ffffffffffffffffffff
469-ddddd	ffffffffffffffffffff
470-ddddd	ffffffffffffffffffff
471-ddddd	ffffffffffffffffffff
472-ddddd	ffffffffffffffffffff
473-ddddd	ffffffffffffffffffff
474-ddddd	ffffffffffffffffffff
475-ddddd	ffffffffffffffffffff
476-ddddd	ffffffffffffffffffff
477-ddddd	ffffffffffffffffffff
478-ddddd	ffffffffffffffffffff
479-ddddd	ffffffffffffffffffff
480-ddddd	ffffffffffffffffffff
481-ddddd	ffffffffffffffffffff
482-ddddd	ffffffffffffffffffff
483-ddddd	ffffffffffffffffffff
484-ddddd	ffffffffffffffffffff
485-ddddd	ffffffffffffffffffff
486-ddddd	ffffffffffffffffffff
487-ddddd	ffffffffffffffffffff
488-ddddd	ffffffffffffffffffff
489-ddddd	ffffffffffffffffffff
490-ddddd	ffffffffffffffffffff
491-ddddd	ffffffffffffffffffff
492-ddddd	ffffffffffffffffffff
493-ddddd	ffffffffffffffffffff
494-ddddd	ffffffffffffffffffff
495-ddddd	ffffffffffffffffffff
496-ddddd	ffffffffffffffffffff
497-ddddd	ffffffffffffffffffff
498-ddddd	ffffffffffffffffffff
286-ddddd	ffffffffffffffffffff
499-ddddd	ffffffffffffffffffff
284-ddddd	ffffffffffffffffffff
501-ddddd	ffffffffffffffffffff
500-ddddd	ffffffffffffffffffff
502-ddddd	ffffffffffffffffffff
503-ddddd	ffffffffffffffffffff
505-ddddd	ffffffffffffffffffff
504-ddddd	ffffffffffffffffffff
507-ddddd	ffffffffffffffffffff
506-ddddd	ffffffffffffffffffff
508-ddddd	ffffffffffffffffffff
509-ddddd	ffffffffffffffffffff
510-ddddd	ffffffffffffffffffff
511-ddddd	ffffffffffffffffffff
512-ddddd	ffffffffffffffffffff
513-ddddd	ffffffffffffffffffff
514-ddddd	ffffffffffffffffffff
515-ddddd	ffffffffffffffffffff
516-ddddd	ffffffffffffffffffff
517-ddddd	ffffffffffffffffffff
518-ddddd	ffffffffffffffffffff
519-ddddd	ffffffffffffffffffff
520-ddddd	ffffffffffffffffffff
521-ddddd	ffffffffffffffffffff
522-ddddd	ffffffffffffffffffff
523-ddddd	ffffffffffffffffffff
524-ddddd	ffffffffffffffffffff
525-ddddd	ffffffffffffffffffff
526-ddddd	ffffffffffffffffffff
527-ddddd	ffffffffffffffffffff
528-ddddd	ffffffffffffffffffff
529-ddddd	ffffffffffffffffffff
530-ddddd	ffffffffffffffffffff
531-ddddd	ffffffffffffffffffff
532-ddddd	ffffffffffffffffffff
533-ddddd	ffffffffffffffffffff
534-ddddd	ffffffffffffffffffff
535-ddddd	ffffffffffffffffffff
536-ddddd	ffffffffffffffffffff
537-ddddd	ffffffffffffffffffff
538-ddddd	ffffffffffffffffffff
539-ddddd	ffffffffffffffffffff
540-ddddd	ffffffffffffffffffff
541-ddddd	ffffffffffffffffffff
542-ddddd	ffffffffffffffffffff
543-ddddd	ffffffffffffffffffff
544-ddddd	ffffffffffffffffffff
545-ddddd	ffffffffffffffffffff
546-ddddd	ffffffffffffffffffff
547-ddddd	ffffffffffffffffffff
548-ddddd	ffffffffffffffffffff
549-ddddd	ffffffffffffffffffff
550-ddddd	ffffffffffffffffffff
551-ddddd	ffffffffffffffffffff
552-ddddd	ffffffffffffffffffff
553-ddddd	ffffffffffffffffffff
554-ddddd	ffffffffffffffffffff
555-ddddd	ffffffffffffffffffff
556-ddddd	ffffffffffffffffffff
557-ddddd	ffffffffffffffffffff
558-ddddd	ffffffffffffffffffff
559-ddddd	ffffffffffffffffffff
561-ddddd	ffffffffffffffffffff
560-ddddd	ffffffffffffffffffff
562-ddddd	ffffffffffffffffffff
563-ddddd	ffffffffffffffffffff
564-ddddd	ffffffffffffffffffff
565-ddddd	ffffffffffffffffffff
566-ddddd	ffffffffffffffffffff
567-ddddd	ffffffffffffffffffff
568-ddddd	ffffffffffffffffffff
569-ddddd	ffffffffffffffffffff
570-ddddd	ffffffffffffffffffff
572-ddddd	ffffffffffffffffffff
571-ddddd	ffffffffffffffffffff
573-ddddd	ffffffffffffffffffff
574-ddddd	ffffffffffffffffffff
575-ddddd	ffffffffffffffffffff
576-ddddd	ffffffffffffffffffff
577-ddddd	ffffffffffffffffffff
578-ddddd	ffffffffffffffffffff
579-ddddd	ffffffffffffffffffff
580-ddddd	ffffffffffffffffffff
581-ddddd	ffffffffffffffffffff
582-ddddd	ffffffffffffffffffff
584-ddddd	ffffffffffffffffffff
583-ddddd	ffffffffffffffffffff
585-ddddd	ffffffffffffffffffff
586-ddddd	ffffffffffffffffffff
587-ddddd	ffffffffffffffffffff
588-ddddd	ffffffffffffffffffff
589-ddddd	ffffffffffffffffffff
590-ddddd	ffffffffffffffffffff
591-ddddd	ffffffffffffffffffff
593-ddddd	ffffffffffffffffffff
592-ddddd	ffffffffffffffffffff
594-ddddd	ffffffffffffffffffff
595-ddddd	ffffffffffffffffffff
597-ddddd	ffffffffffffffffffff
596-ddddd	ffffffffffffffffffff
598-ddddd	ffffffffffffffffffff
599-ddddd	ffffffffffffffffffff
600-ddddd	ffffffffffffffffffff
601-ddddd	ffffffffffffffffffff
602-ddddd	ffffffffffffffffffff
603-ddddd	ffffffffffffffffffff
604-ddddd	ffffffffffffffffffff
605-ddddd	ffffffffffffffffffff
606-ddddd	ffffffffffffffffffff
607-ddddd	ffffffffffffffffffff
608-ddddd	ffffffffffffffffffff
609-ddddd	ffffffffffffffffffff
610-ddddd	ffffffffffffffffffff
611-ddddd	ffffffffffffffffffff
612-ddddd	ffffffffffffffffffff
613-ddddd	ffffffffffffffffffff
614-ddddd	ffffffffffffffffffff
615-ddddd	ffffffffffffffffffff
616-ddddd	ffffffffffffffffffff
617-ddddd	ffffffffffffffffffff
618-ddddd	ffffffffffffffffffff
619-ddddd	ffffffffffffffffffff
620-ddddd	ffffffffffffffffffff
621-ddddd	ffffffffffffffffffff
622-ddddd	ffffffffffffffffffff
623-ddddd	ffffffffffffffffffff
624-ddddd	ffffffffffffffffffff
625-ddddd	ffffffffffffffffffff
626-ddddd	ffffffffffffffffffff
627-ddddd	ffffffffffffffffffff
628-ddddd	ffffffffffffffffffff
629-ddddd	ffffffffffffffffffff
630-ddddd	ffffffffffffffffffff
631-ddddd	ffffffffffffffffffff
632-ddddd	ffffffffffffffffffff
633-ddddd	ffffffffffffffffffff
634-ddddd	ffffffffffffffffffff
635-ddddd	ffffffffffffffffffff
636-ddddd	ffffffffffffffffffff
637-ddddd	ffffffffffffffffffff
638-ddddd	ffffffffffffffffffff
640-ddddd	ffffffffffffffffffff
639-ddddd	ffffffffffffffffffff
641-ddddd	ffffffffffffffffffff
643-ddddd	ffffffffffffffffffff
642-ddddd	ffffffffffffffffffff
644-ddddd	ffffffffffffffffffff
645-ddddd	ffffffffffffffffffff
647-ddddd	ffffffffffffffffffff
646-ddddd	ffffffffffffffffffff
648-ddddd	ffffffffffffffffffff
649-ddddd	ffffffffffffffffffff
650-ddddd	ffffffffffffffffffff
651-ddddd	ffffffffffffffffffff
652-ddddd	ffffffffffffffffffff
653-ddddd	ffffffffffffffffffff
654-ddddd	ffffffffffffffffffff
655-ddddd	ffffffffffffffffffff
656-ddddd	ffffffffffffffffffff
657-ddddd	ffffffffffffffffffff
658-ddddd	ffffffffffffffffffff
659-ddddd	ffffffffffffffffffff
660-ddddd	ffffffffffffffffffff
661-ddddd	ffffffffffffffffffff
662-ddddd	ffffffffffffffffffff
663-ddddd	ffffffffffffffffffff
664-ddddd	ffffffffffffffffffff
665-ddddd	ffffffffffffffffffff
666-ddddd	ffffffffffffffffffff
667-ddddd	ffffffffffffffffffff
668-ddddd	ffffffffffffffffffff
669-ddddd	ffffffffffffffffffff
670-ddddd	ffffffffffffffffffff
671-ddddd	ffffffffffffffffffff
672-ddddd	ffffffffffffffffffff
673-ddddd	ffffffffffffffffffff
674-ddddd	ffffffffffffffffffff
675-ddddd	ffffffffffffffffffff
676-ddddd	ffffffffffffffffffff
677-ddddd	ffffffffffffffffffff
678-ddddd	ffffffffffffffffffff
679-ddddd	ffffffffffffffffffff
680-ddddd	ffffffffffffffffffff
681-ddddd	ffffffffffffffffffff
682-ddddd	ffffffffffffffffffff
683-ddddd	ffffffffffffffffffff
684-ddddd	ffffffffffffffffffff
685-ddddd	ffffffffffffffffffff
686-ddddd	ffffffffffffffffffff
687-ddddd	ffffffffffffffffffff
688-ddddd	ffffffffffffffffffff
689-ddddd	ffffffffffffffffffff
690-ddddd	ffffffffffffffffffff
691-ddddd	ffffffffffffffffffff
692-ddddd	ffffffffffffffffffff
693-ddddd	ffffffffffffffffffff
694-ddddd	ffffffffffffffffffff
695-ddddd	ffffffffffffffffffff
696-ddddd	ffffffffffffffffffff
697-ddddd	ffffffffffffffffffff
698-ddddd	ffffffffffffffffffff
699-ddddd	ffffffffffffffffffff
701-ddddd	ffffffffffffffffffff
700-ddddd	ffffffffffffffffffff
702-ddddd	ffffffffffffffffffff
704-ddddd	ffffffffffffffffffff
703-ddddd	ffffffffffffffffffff
706-ddddd	ffffffffffffffffffff
705-ddddd	ffffffffffffffffffff
707-ddddd	ffffffffffffffffffff
708-ddddd	ffffffffffffffffffff
709-ddddd	ffffffffffffffffffff
710-ddddd	ffffffffffffffffffff
711-ddddd	9999999999999999999
714-ddddd	ffffffffffffffffffff
713-ddddd	ffffffffffffffffffff
715-ddddd	ffffffffffffffffffff
718-ddddd	ffffffffffffffffffff
717-ddddd	ffffffffffffffffffff
716-ddddd	ffffffffffffffffffff
721-ddddd	ffffffffffffffffffff
719-ddddd	ffffffffffffffffffff
720-ddddd	ffffffffffffffffffff
722-ddddd	ffffffffffffffffffff
724-ddddd	ffffffffffffffffffff
725-ddddd	ffffffffffffffffffff
727-ddddd	ffffffffffffffffffff
726-ddddd	ffffffffffffffffffff
723-ddddd	ffffffffffffffffffff
728-ddddd	ffffffffffffffffffff
729-ddddd	ffffffffffffffffffff
730-ddddd	ffffffffffffffffffff
731-ddddd	ffffffffffffffffffff
733-ddddd	ffffffffffffffffffff
734-ddddd	ffffffffffffffffffff
735-ddddd	ffffffffffffffffffff
732-ddddd	ffffffffffffffffffff
738-ddddd	ffffffffffffffffffff
736-ddddd	ffffffffffffffffffff
737-ddddd	ffffffffffffffffffff
739-ddddd	ffffffffffffffffffff
740-ddddd	ffffffffffffffffffff
